,year_month,product,location,quantity,date
0,2015-06,Medicine_1,Ahmednagar,959,2015-06-01
1,2015-06,Medicine_1,Akola,1060,2015-06-01
2,2015-06,Medicine_1,Amravati,1060,2015-06-01
3,2015-06,Medicine_1,Aurangabad,994,2015-06-01
4,2015-06,Medicine_1,Chandrapur,973,2015-06-01
5,2015-06,Medicine_1,Dhule,896,2015-06-01
6,2015-06,Medicine_1,Ichalkaranji,1046,2015-06-01
7,2015-06,Medicine_1,Jalgaon,983,2015-06-01
8,2015-06,Medicine_1,Jalna,908,2015-06-01
9,2015-06,Medicine_1,Kolhapur,918,2015-06-01
10,2015-06,Medicine_1,Latur,1076,2015-06-01
11,2015-06,Medicine_1,Mumbai,1093,2015-06-01
12,2015-06,Medicine_1,Nagpur,1064,2015-06-01
13,2015-06,Medicine_1,Nanded,1116,2015-06-01
14,2015-06,Medicine_1,Nashik,1205,2015-06-01
15,2015-06,Medicine_1,Parbhani,883,2015-06-01
16,2015-06,Medicine_1,Pune,856,2015-06-01
17,2015-06,Medicine_1,Satara,834,2015-06-01
18,2015-06,Medicine_1,Solapur,839,2015-06-01
19,2015-06,Medicine_1,Thane,1200,2015-06-01
20,2015-06,Medicine_10,Ahmednagar,1110,2015-06-01
21,2015-06,Medicine_10,Akola,901,2015-06-01
22,2015-06,Medicine_10,Amravati,878,2015-06-01
23,2015-06,Medicine_10,Aurangabad,862,2015-06-01
24,2015-06,Medicine_10,Chandrapur,939,2015-06-01
25,2015-06,Medicine_10,Dhule,972,2015-06-01
26,2015-06,Medicine_10,Ichalkaranji,839,2015-06-01
27,2015-06,Medicine_10,Jalgaon,1048,2015-06-01
28,2015-06,Medicine_10,Jalna,794,2015-06-01
29,2015-06,Medicine_10,Kolhapur,716,2015-06-01
30,2015-06,Medicine_10,Latur,1062,2015-06-01
31,2015-06,Medicine_10,Mumbai,920,2015-06-01
32,2015-06,Medicine_10,Nagpur,940,2015-06-01
33,2015-06,Medicine_10,Nanded,1047,2015-06-01
34,2015-06,Medicine_10,Nashik,963,2015-06-01
35,2015-06,Medicine_10,Parbhani,890,2015-06-01
36,2015-06,Medicine_10,Pune,1154,2015-06-01
37,2015-06,Medicine_10,Satara,986,2015-06-01
38,2015-06,Medicine_10,Solapur,902,2015-06-01
39,2015-06,Medicine_10,Thane,811,2015-06-01
40,2015-06,Medicine_2,Ahmednagar,965,2015-06-01
41,2015-06,Medicine_2,Akola,963,2015-06-01
42,2015-06,Medicine_2,Amravati,1120,2015-06-01
43,2015-06,Medicine_2,Aurangabad,1185,2015-06-01
44,2015-06,Medicine_2,Chandrapur,863,2015-06-01
45,2015-06,Medicine_2,Dhule,850,2015-06-01
46,2015-06,Medicine_2,Ichalkaranji,1046,2015-06-01
47,2015-06,Medicine_2,Jalgaon,1144,2015-06-01
48,2015-06,Medicine_2,Jalna,879,2015-06-01
49,2015-06,Medicine_2,Kolhapur,1034,2015-06-01
50,2015-06,Medicine_2,Latur,863,2015-06-01
51,2015-06,Medicine_2,Mumbai,850,2015-06-01
52,2015-06,Medicine_2,Nagpur,870,2015-06-01
53,2015-06,Medicine_2,Nanded,939,2015-06-01
54,2015-06,Medicine_2,Nashik,1045,2015-06-01
55,2015-06,Medicine_2,Parbhani,1041,2015-06-01
56,2015-06,Medicine_2,Pune,1021,2015-06-01
57,2015-06,Medicine_2,Satara,776,2015-06-01
58,2015-06,Medicine_2,Solapur,965,2015-06-01
59,2015-06,Medicine_2,Thane,1080,2015-06-01
60,2015-06,Medicine_3,Ahmednagar,1061,2015-06-01
61,2015-06,Medicine_3,Akola,900,2015-06-01
62,2015-06,Medicine_3,Amravati,840,2015-06-01
63,2015-06,Medicine_3,Aurangabad,810,2015-06-01
64,2015-06,Medicine_3,Chandrapur,915,2015-06-01
65,2015-06,Medicine_3,Dhule,1316,2015-06-01
66,2015-06,Medicine_3,Ichalkaranji,1123,2015-06-01
67,2015-06,Medicine_3,Jalgaon,903,2015-06-01
68,2015-06,Medicine_3,Jalna,916,2015-06-01
69,2015-06,Medicine_3,Kolhapur,949,2015-06-01
70,2015-06,Medicine_3,Latur,1032,2015-06-01
71,2015-06,Medicine_3,Mumbai,1081,2015-06-01
72,2015-06,Medicine_3,Nagpur,911,2015-06-01
73,2015-06,Medicine_3,Nanded,1019,2015-06-01
74,2015-06,Medicine_3,Nashik,913,2015-06-01
75,2015-06,Medicine_3,Parbhani,934,2015-06-01
76,2015-06,Medicine_3,Pune,928,2015-06-01
77,2015-06,Medicine_3,Satara,727,2015-06-01
78,2015-06,Medicine_3,Solapur,947,2015-06-01
79,2015-06,Medicine_3,Thane,957,2015-06-01
80,2015-06,Medicine_4,Ahmednagar,914,2015-06-01
81,2015-06,Medicine_4,Akola,1018,2015-06-01
82,2015-06,Medicine_4,Amravati,1087,2015-06-01
83,2015-06,Medicine_4,Aurangabad,844,2015-06-01
84,2015-06,Medicine_4,Chandrapur,948,2015-06-01
85,2015-06,Medicine_4,Dhule,1021,2015-06-01
86,2015-06,Medicine_4,Ichalkaranji,979,2015-06-01
87,2015-06,Medicine_4,Jalgaon,875,2015-06-01
88,2015-06,Medicine_4,Jalna,1147,2015-06-01
89,2015-06,Medicine_4,Kolhapur,866,2015-06-01
90,2015-06,Medicine_4,Latur,964,2015-06-01
91,2015-06,Medicine_4,Mumbai,930,2015-06-01
92,2015-06,Medicine_4,Nagpur,1092,2015-06-01
93,2015-06,Medicine_4,Nanded,1141,2015-06-01
94,2015-06,Medicine_4,Nashik,873,2015-06-01
95,2015-06,Medicine_4,Parbhani,942,2015-06-01
96,2015-06,Medicine_4,Pune,969,2015-06-01
97,2015-06,Medicine_4,Satara,1066,2015-06-01
98,2015-06,Medicine_4,Solapur,1054,2015-06-01
99,2015-06,Medicine_4,Thane,1008,2015-06-01
100,2015-06,Medicine_5,Ahmednagar,934,2015-06-01
101,2015-06,Medicine_5,Akola,816,2015-06-01
102,2015-06,Medicine_5,Amravati,814,2015-06-01
103,2015-06,Medicine_5,Aurangabad,987,2015-06-01
104,2015-06,Medicine_5,Chandrapur,1110,2015-06-01
105,2015-06,Medicine_5,Dhule,991,2015-06-01
106,2015-06,Medicine_5,Ichalkaranji,926,2015-06-01
107,2015-06,Medicine_5,Jalgaon,1019,2015-06-01
108,2015-06,Medicine_5,Jalna,1022,2015-06-01
109,2015-06,Medicine_5,Kolhapur,1112,2015-06-01
110,2015-06,Medicine_5,Latur,1033,2015-06-01
111,2015-06,Medicine_5,Mumbai,1097,2015-06-01
112,2015-06,Medicine_5,Nagpur,1073,2015-06-01
113,2015-06,Medicine_5,Nanded,933,2015-06-01
114,2015-06,Medicine_5,Nashik,1099,2015-06-01
115,2015-06,Medicine_5,Parbhani,972,2015-06-01
116,2015-06,Medicine_5,Pune,809,2015-06-01
117,2015-06,Medicine_5,Satara,1173,2015-06-01
118,2015-06,Medicine_5,Solapur,849,2015-06-01
119,2015-06,Medicine_5,Thane,948,2015-06-01
120,2015-06,Medicine_6,Ahmednagar,1054,2015-06-01
121,2015-06,Medicine_6,Akola,1071,2015-06-01
122,2015-06,Medicine_6,Amravati,1215,2015-06-01
123,2015-06,Medicine_6,Aurangabad,994,2015-06-01
124,2015-06,Medicine_6,Chandrapur,1049,2015-06-01
125,2015-06,Medicine_6,Dhule,1203,2015-06-01
126,2015-06,Medicine_6,Ichalkaranji,913,2015-06-01
127,2015-06,Medicine_6,Jalgaon,913,2015-06-01
128,2015-06,Medicine_6,Jalna,875,2015-06-01
129,2015-06,Medicine_6,Kolhapur,741,2015-06-01
130,2015-06,Medicine_6,Latur,1072,2015-06-01
131,2015-06,Medicine_6,Mumbai,1026,2015-06-01
132,2015-06,Medicine_6,Nagpur,944,2015-06-01
133,2015-06,Medicine_6,Nanded,991,2015-06-01
134,2015-06,Medicine_6,Nashik,839,2015-06-01
135,2015-06,Medicine_6,Parbhani,1003,2015-06-01
136,2015-06,Medicine_6,Pune,1185,2015-06-01
137,2015-06,Medicine_6,Satara,1082,2015-06-01
138,2015-06,Medicine_6,Solapur,922,2015-06-01
139,2015-06,Medicine_6,Thane,1001,2015-06-01
140,2015-06,Medicine_7,Ahmednagar,1105,2015-06-01
141,2015-06,Medicine_7,Akola,854,2015-06-01
142,2015-06,Medicine_7,Amravati,832,2015-06-01
143,2015-06,Medicine_7,Aurangabad,1248,2015-06-01
144,2015-06,Medicine_7,Chandrapur,1124,2015-06-01
145,2015-06,Medicine_7,Dhule,1014,2015-06-01
146,2015-06,Medicine_7,Ichalkaranji,895,2015-06-01
147,2015-06,Medicine_7,Jalgaon,1020,2015-06-01
148,2015-06,Medicine_7,Jalna,1004,2015-06-01
149,2015-06,Medicine_7,Kolhapur,1099,2015-06-01
150,2015-06,Medicine_7,Latur,1046,2015-06-01
151,2015-06,Medicine_7,Mumbai,1072,2015-06-01
152,2015-06,Medicine_7,Nagpur,990,2015-06-01
153,2015-06,Medicine_7,Nanded,861,2015-06-01
154,2015-06,Medicine_7,Nashik,799,2015-06-01
155,2015-06,Medicine_7,Parbhani,1148,2015-06-01
156,2015-06,Medicine_7,Pune,1018,2015-06-01
157,2015-06,Medicine_7,Satara,860,2015-06-01
158,2015-06,Medicine_7,Solapur,949,2015-06-01
159,2015-06,Medicine_7,Thane,1011,2015-06-01
160,2015-06,Medicine_8,Ahmednagar,1001,2015-06-01
161,2015-06,Medicine_8,Akola,1066,2015-06-01
162,2015-06,Medicine_8,Amravati,995,2015-06-01
163,2015-06,Medicine_8,Aurangabad,920,2015-06-01
164,2015-06,Medicine_8,Chandrapur,899,2015-06-01
165,2015-06,Medicine_8,Dhule,1090,2015-06-01
166,2015-06,Medicine_8,Ichalkaranji,1033,2015-06-01
167,2015-06,Medicine_8,Jalgaon,904,2015-06-01
168,2015-06,Medicine_8,Jalna,939,2015-06-01
